,start_time,end_time,floor,time_offset,Duration_in_min,Date,climb_time_hour
56,2018-01-22 16:39:31,2018-01-22 16:39:58,1.0,UTC-0500,0.45,2018-01-22,21
57,2018-03-19 08:42:01,2018-03-19 08:42:29,1.0,UTC-0400,0.4666666666666667,2018-03-19,12
58,2018-05-08 15:48:56,2018-05-08 15:49:16,1.0,UTC-0400,0.3333333333333333,2018-05-08,19
59,2018-03-07 08:44:26,2018-03-07 08:44:35,1.0,UTC-0500,0.15,2018-03-07,13
60,2018-07-25 07:57:10,2018-07-25 07:57:27,1.0,UTC-0400,0.2833333333333333,2018-07-25,11
61,2018-12-20 08:54:05,2018-12-20 08:54:30,2.0,UTC-0500,0.4166666666666667,2018-12-20,13
62,2018-10-28 08:06:27,2018-10-28 08:07:49,7.0,UTC-0400,1.3666666666666667,2018-10-28,12
63,2018-04-02 07:37:46,2018-04-02 07:38:39,1.0,UTC-0400,0.8833333333333333,2018-04-02,11
64,2018-03-30 10:05:39,2018-03-30 10:05:48,1.0,UTC-0400,0.15,2018-03-30,14
65,2018-03-14 21:01:13,2018-03-14 21:01:33,1.0,UTC-0400,0.3333333333333333,2018-03-15,1
66,2018-05-28 17:31:54,2018-05-28 17:32:23,1.0,UTC-0400,0.48333333333333334,2018-05-28,21
67,2018-10-05 19:07:48,2018-10-05 19:08:45,2.0,UTC-0400,0.95,2018-10-05,23
68,2018-02-13 08:40:13,2018-02-13 08:40:37,1.0,UTC-0500,0.4,2018-02-13,13
69,2018-12-18 08:50:36,2018-12-18 08:51:57,2.0,UTC-0500,1.35,2018-12-18,13
70,2018-02-05 09:04:10,2018-02-05 09:04:41,2.0,UTC-0500,0.5166666666666667,2018-02-05,14
71,2018-06-25 18:06:30,2018-06-25 18:06:47,1.0,UTC-0400,0.2833333333333333,2018-06-25,22
72,2018-04-10 09:17:50,2018-04-10 09:18:11,1.0,UTC-0400,0.35,2018-04-10,13
73,2018-06-04 08:49:12,2018-06-04 08:49:25,1.0,UTC-0400,0.21666666666666667,2018-06-04,12
74,2018-11-06 17:40:00,2018-11-06 17:40:16,1.0,UTC-0500,0.26666666666666666,2018-11-06,22
75,2018-02-16 20:58:57,2018-02-16 20:59:52,2.0,UTC-0500,0.9166666666666666,2018-02-17,1
76,2018-04-19 18:14:05,2018-04-19 18:14:14,1.0,UTC-0400,0.15,2018-04-19,22
77,2018-02-13 08:35:42,2018-02-13 08:36:15,2.0,UTC-0500,0.55,2018-02-13,13
78,2018-10-22 18:34:19,2018-10-22 18:35:37,3.0,UTC-0400,1.3,2018-10-22,22
79,2018-01-19 09:13:29,2018-01-19 09:13:51,1.0,UTC-0500,0.36666666666666664,2018-01-19,14
80,2018-09-06 08:12:32,2018-09-06 08:14:19,2.0,UTC-0400,1.7833333333333334,2018-09-06,12
81,2018-11-20 08:41:10,2018-11-20 08:41:29,1.0,UTC-0500,0.31666666666666665,2018-11-20,13
82,2018-08-23 18:52:31,2018-08-23 18:53:46,5.0,UTC+0200,1.25,2018-08-23,16
83,2018-03-24 10:00:30,2018-03-24 10:00:46,1.0,UTC-0400,0.26666666666666666,2018-03-24,14
84,2018-05-15 19:46:38,2018-05-15 19:48:25,9.0,UTC-0400,1.7833333333333334,2018-05-15,23
85,2018-07-12 17:21:38,2018-07-12 17:21:53,1.0,UTC-0400,0.25,2018-07-12,21
86,2018-05-02 17:35:14,2018-05-02 17:35:27,1.0,UTC-0400,0.21666666666666667,2018-05-02,21
87,2018-11-20 17:33:55,2018-11-20 17:34:31,2.0,UTC-0500,0.6,2018-11-20,22
88,2018-05-12 13:14:19,2018-05-12 13:14:45,1.0,UTC-0400,0.43333333333333335,2018-05-12,17
89,2018-06-26 17:42:46,2018-06-26 17:42:54,1.0,UTC-0400,0.13333333333333333,2018-06-26,21
90,2018-06-14 18:02:01,2018-06-14 18:02:22,1.0,UTC-0400,0.35,2018-06-14,22
91,2018-11-15 15:57:13,2018-11-15 15:58:52,3.0,UTC-0500,1.65,2018-11-15,20
92,2018-06-27 15:53:39,2018-06-27 15:54:09,1.0,UTC-0400,0.5,2018-06-27,19
93,2018-01-11 16:59:18,2018-01-11 16:59:33,1.0,UTC-0500,0.25,2018-01-11,21
94,2018-04-30 08:41:39,2018-04-30 08:42:03,2.0,UTC-0400,0.4,2018-04-30,12
95,2018-07-27 18:24:14,2018-07-27 18:24:45,2.0,UTC-0400,0.5166666666666667,2018-07-27,22
96,2018-01-07 13:56:57,2018-01-07 13:58:02,7.0,UTC-0500,1.0833333333333333,2018-01-07,18
97,2018-05-04 18:40:49,2018-05-04 18:40:56,1.0,UTC-0400,0.11666666666666667,2018-05-04,22
98,2018-03-14 20:11:18,2018-03-14 20:11:39,1.0,UTC-0400,0.35,2018-03-15,0
99,2017-12-31 19:28:53,2017-12-31 19:29:07,1.0,UTC-0800,0.23333333333333334,2018-01-01,3
100,2018-03-14 20:02:58,2018-03-14 20:03:33,1.0,UTC-0400,0.5833333333333334,2018-03-15,0
101,2018-02-20 19:33:22,2018-02-20 19:33:48,1.0,UTC-0500,0.43333333333333335,2018-02-21,0
102,2018-01-19 11:06:25,2018-01-19 11:07:51,6.0,UTC-0500,1.4333333333333333,2018-01-19,16
103,2018-01-22 18:53:14,2018-01-22 18:54:49,9.0,UTC-0500,1.5833333333333333,2018-01-22,23
104,2018-02-16 21:01:06,2018-02-16 21:01:31,1.0,UTC-0500,0.4166666666666667,2018-02-17,2
105,2018-05-04 18:27:20,2018-05-04 18:27:47,2.0,UTC-0400,0.45,2018-05-04,22
106,2018-07-15 13:19:30,2018-07-15 13:19:51,1.0,UTC-0400,0.35,2018-07-15,17
107,2018-11-28 07:29:49,2018-11-28 07:31:23,2.0,UTC-0500,1.5666666666666667,2018-11-28,12
108,2018-10-11 17:30:33,2018-10-11 17:30:49,1.0,UTC-0400,0.26666666666666666,2018-10-11,21
109,2018-01-16 17:37:40,2018-01-16 17:38:05,1.0,UTC-0500,0.4166666666666667,2018-01-16,22
110,2018-04-24 12:27:17,2018-04-24 12:27:30,1.0,UTC-0400,0.21666666666666667,2018-04-24,16
111,2018-07-03 19:32:00,2018-07-03 19:32:18,1.0,UTC-0400,0.3,2018-07-03,23
112,2018-11-15 09:02:44,2018-11-15 09:02:50,1.0,UTC-0500,0.1,2018-11-15,14
113,2018-02-07 13:47:08,2018-02-07 13:47:40,1.0,UTC-0500,0.5333333333333333,2018-02-07,18
114,2018-11-27 12:29:33,2018-11-27 12:29:54,1.0,UTC-0500,0.35,2018-11-27,17
115,2018-12-20 17:52:12,2018-12-20 17:52:20,1.0,UTC-0500,0.13333333333333333,2018-12-20,22
116,2018-01-22 16:45:04,2018-01-22 16:46:34,9.0,UTC-0500,1.5,2018-01-22,21
117,2018-03-07 20:07:02,2018-03-07 20:07:19,1.0,UTC-0500,0.2833333333333333,2018-03-08,1
118,2018-11-19 17:37:46,2018-11-19 17:38:38,2.0,UTC-0500,0.8666666666666667,2018-11-19,22
119,2018-04-07 16:05:05,2018-04-07 16:05:17,1.0,UTC-0400,0.2,2018-04-07,20
120,2018-02-17 13:09:37,2018-02-17 13:09:49,1.0,UTC-0500,0.2,2018-02-17,18
121,2018-05-31 18:24:11,2018-05-31 18:24:43,2.0,UTC-0400,0.5333333333333333,2018-05-31,22
122,2018-05-23 08:41:33,2018-05-23 08:41:46,1.0,UTC-0400,0.21666666666666667,2018-05-23,12
123,2018-09-28 09:37:00,2018-09-28 09:37:14,1.0,UTC-0400,0.23333333333333334,2018-09-28,13
124,2018-06-19 20:17:08,2018-06-19 20:17:21,1.0,UTC-0400,0.21666666666666667,2018-06-20,0
125,2018-07-17 19:34:33,2018-07-17 19:35:25,2.0,UTC-0400,0.8666666666666667,2018-07-17,23
126,2018-03-04 16:07:17,2018-03-04 16:07:34,1.0,UTC-0500,0.2833333333333333,2018-03-04,21
127,2018-11-12 17:42:28,2018-11-12 17:44:02,8.0,UTC-0500,1.5666666666666667,2018-11-12,22
128,2018-11-19 08:38:50,2018-11-19 08:39:09,1.0,UTC-0500,0.31666666666666665,2018-11-19,13
129,2019-01-02 07:58:10,2019-01-02 07:58:26,1.0,UTC-0500,0.26666666666666666,2019-01-02,12
130,2018-05-22 09:10:04,2018-05-22 09:10:29,1.0,UTC-0400,0.4166666666666667,2018-05-22,13
131,2018-05-28 20:34:34,2018-05-28 20:35:00,1.0,UTC-0400,0.43333333333333335,2018-05-29,0
132,2018-08-21 15:11:22,2018-08-21 15:11:49,1.0,UTC+0200,0.45,2018-08-21,13
133,2018-01-24 17:31:37,2018-01-24 17:31:57,1.0,UTC-0500,0.3333333333333333,2018-01-24,22
134,2018-03-08 09:09:27,2018-03-08 09:09:34,1.0,UTC-0500,0.11666666666666667,2018-03-08,14
135,2018-08-25 08:33:50,2018-08-25 08:34:39,1.0,UTC+0200,0.8166666666666667,2018-08-25,6
136,2018-11-19 17:40:21,2018-11-19 17:40:39,1.0,UTC-0500,0.3,2018-11-19,22
137,2018-01-31 19:56:17,2018-01-31 19:56:26,2.0,UTC-0500,0.15,2018-02-01,0
138,2018-04-02 07:40:23,2018-04-02 07:40:44,1.0,UTC-0400,0.35,2018-04-02,11
139,2018-06-27 15:47:11,2018-06-27 15:48:25,2.0,UTC-0400,1.2333333333333334,2018-06-27,19
140,2018-11-23 09:13:09,2018-11-23 09:13:30,1.0,UTC-0500,0.35,2018-11-23,14
141,2018-12-17 18:44:10,2018-12-17 18:44:38,1.0,UTC-0500,0.4666666666666667,2018-12-17,23
142,2018-04-11 08:15:38,2018-04-11 08:15:58,1.0,UTC-0400,0.3333333333333333,2018-04-11,12
143,2018-08-22 10:21:53,2018-08-22 10:22:21,2.0,UTC+0200,0.4666666666666667,2018-08-22,8
144,2018-06-14 23:03:25,2018-06-14 23:03:52,1.0,UTC-0400,0.45,2018-06-15,3
145,2018-04-25 08:17:25,2018-04-25 08:17:42,1.0,UTC-0400,0.2833333333333333,2018-04-25,12
146,2018-03-02 07:44:11,2018-03-02 07:45:01,2.0,UTC-0500,0.8333333333333334,2018-03-02,12
147,2018-10-24 20:08:57,2018-10-24 20:09:19,1.0,UTC-0400,0.36666666666666664,2018-10-25,0
148,2018-08-24 20:11:41,2018-08-24 20:11:52,1.0,UTC+0200,0.18333333333333332,2018-08-24,18
149,2018-04-05 15:48:39,2018-04-05 15:48:46,1.0,UTC-0400,0.11666666666666667,2018-04-05,19
150,2018-06-27 16:36:21,2018-06-27 16:36:49,1.0,UTC-0400,0.4666666666666667,2018-06-27,20
151,2018-02-20 18:33:30,2018-02-20 18:33:53,1.0,UTC-0500,0.38333333333333336,2018-02-20,23
152,2018-10-20 12:27:27,2018-10-20 12:29:20,8.0,UTC-0400,1.8833333333333333,2018-10-20,16
153,2018-04-16 17:11:04,2018-04-16 17:11:17,1.0,UTC-0400,0.21666666666666667,2018-04-16,21
154,2018-08-25 21:55:59,2018-08-25 22:02:20,17.0,UTC+0200,6.35,2018-08-25,19
155,2018-08-02 18:40:40,2018-08-02 18:41:08,1.0,UTC-0400,0.4666666666666667,2018-08-02,22
156,2018-04-26 19:08:51,2018-04-26 19:10:09,6.0,UTC-0400,1.3,2018-04-26,23
157,2018-06-01 07:46:46,2018-06-01 07:47:05,1.0,UTC-0400,0.31666666666666665,2018-06-01,11
158,2018-02-20 08:39:47,2018-02-20 08:40:08,1.0,UTC-0500,0.35,2018-02-20,13
159,2018-02-07 09:09:37,2018-02-07 09:09:52,1.0,UTC-0500,0.25,2018-02-07,14
160,2018-01-31 17:27:02,2018-01-31 17:27:16,1.0,UTC-0500,0.23333333333333334,2018-01-31,22
161,2018-04-16 07:45:35,2018-04-16 07:45:47,1.0,UTC-0400,0.2,2018-04-16,11
162,2018-01-20 17:06:04,2018-01-20 17:08:06,8.0,UTC-0500,2.033333333333333,2018-01-20,22
163,2018-01-02 12:26:54,2018-01-02 12:27:04,1.0,UTC-0500,0.16666666666666666,2018-01-02,17
164,2018-02-05 08:13:04,2018-02-05 08:13:21,1.0,UTC-0500,0.2833333333333333,2018-02-05,13
165,2018-06-03 20:24:00,2018-06-03 20:24:24,1.0,UTC-0400,0.4,2018-06-04,0
166,2018-02-04 07:59:40,2018-02-04 08:01:25,9.0,UTC-0500,1.75,2018-02-04,12
167,2018-07-03 19:34:05,2018-07-03 19:34:36,1.0,UTC-0400,0.5166666666666667,2018-07-03,23
168,2018-08-28 15:27:27,2018-08-28 15:27:42,1.0,UTC-0400,0.25,2018-08-28,19
169,2018-08-11 13:33:26,2018-08-11 13:33:42,1.0,UTC-0400,0.26666666666666666,2018-08-11,17
170,2018-11-20 09:45:30,2018-11-20 09:45:39,1.0,UTC-0500,0.15,2018-11-20,14
171,2018-02-05 07:02:31,2018-02-05 07:03:39,6.0,UTC-0500,1.1333333333333333,2018-02-05,12
172,2018-05-04 18:42:43,2018-05-04 18:42:57,1.0,UTC-0400,0.23333333333333334,2018-05-04,22
173,2018-05-12 10:47:17,2018-05-12 10:47:30,1.0,UTC-0400,0.21666666666666667,2018-05-12,14
174,2018-05-16 18:48:24,2018-05-16 18:49:47,8.0,UTC-0400,1.3833333333333333,2018-05-16,22
175,2017-12-24 09:09:46,2017-12-24 09:10:18,2.0,UTC-0800,0.5333333333333333,2017-12-24,17
176,2018-11-15 09:10:37,2018-11-15 09:11:08,2.0,UTC-0500,0.5166666666666667,2018-11-15,14
177,2018-05-22 19:06:27,2018-05-22 19:06:52,1.0,UTC-0400,0.4166666666666667,2018-05-22,23
178,2018-10-14 13:36:55,2018-10-14 13:37:06,1.0,UTC-0400,0.18333333333333332,2018-10-14,17
179,2018-04-19 18:25:09,2018-04-19 18:25:18,1.0,UTC-0400,0.15,2018-04-19,22
180,2018-11-21 20:55:22,2018-11-21 20:55:36,1.0,UTC-0500,0.23333333333333334,2018-11-22,1
181,2018-08-12 20:25:11,2018-08-12 20:26:45,3.0,UTC-0400,1.5666666666666667,2018-08-13,0
182,2018-06-25 20:48:27,2018-06-25 20:48:56,2.0,UTC-0400,0.48333333333333334,2018-06-26,0
183,2018-05-07 08:38:03,2018-05-07 08:38:24,1.0,UTC-0400,0.35,2018-05-07,12
184,2018-02-07 20:03:58,2018-02-07 20:04:11,1.0,UTC-0500,0.21666666666666667,2018-02-08,1
185,2018-05-17 07:27:55,2018-05-17 07:28:31,2.0,UTC-0400,0.6,2018-05-17,11
