,Date,walk_time_hour,count,calorie,distance,Duration_in_min
0,2018-11-29,10,132,5.79,101.05000000000001,1.9666666666666666
1,2018-11-29,11,41,1.68,27.77,1.9666666666666666
2,2018-11-29,14,101,4.21,71.76,5.8999999999999995
3,2018-11-29,15,51,2.06,31.87,1.9666666666666666
4,2018-11-29,16,67,2.8,47.81,2.9499999999999997
5,2018-11-29,17,108,4.54,78.339,3.933333333333333
6,2018-11-29,18,184,7.6899999999999995,130.959,6.883333333333333
7,2018-11-29,19,36,1.51,25.65,1.9666666666666666
8,2018-11-29,20,70,3.36,51.999,2.966666666666667
9,2018-11-29,21,49,1.9700000000000002,30.99,1.9666666666666666
10,2018-11-29,22,16,0.7,12.9,0.9833333333333333
11,2018-11-29,23,182,8.69,150.058999,7.95
12,2018-11-30,0,237,10.28,177.16,4.916666666666666
13,2018-11-30,3,16,0.63,11.19,0.9833333333333333
14,2018-11-30,11,70,2.96,49.12,2.9499999999999997
15,2018-11-30,13,108,4.449999979999999,75.87,6.9
16,2018-11-30,14,147,6.139999999999999,103.93,7.866666666666666
17,2018-11-30,15,116,5.04,92.43,4.916666666666666
18,2018-11-30,16,114,4.83,83.708,5.8999999999999995
19,2018-11-30,17,157,6.7700000000000005,118.35000000000001,6.883333333333333
20,2018-11-30,18,162,6.66,115.161,3.933333333333333
21,2018-11-30,19,46,1.8499999999999999,29.15,1.9666666666666666
22,2018-11-30,20,59,2.62,46.64,1.9666666666666666
23,2018-11-30,22,118,4.93,82.33,2.9499999999999997
24,2018-11-30,23,28,1.23,20.77,0.9833333333333333
25,2018-12-01,1,455,19.549999999999997,334.99100000000004,10.816666666666665
26,2018-12-01,2,39,1.54,27.878999999999998,1.9666666666666666
27,2018-12-01,14,24,1.36,21.450000000000003,2.0
28,2018-12-01,15,30,1.38000006,23.180001,1.9833333333333334
29,2018-12-01,16,87,3.81,67.2,2.9499999999999997
30,2018-12-01,17,76,3.2000001,54.14,2.966666666666667
31,2018-12-01,18,66,2.77000004,48.75999899999999,3.95
32,2018-12-01,19,177,7.38000006,122.13,3.9499999999999997
33,2018-12-01,22,68,2.90000007,49.42,3.95
34,2018-12-01,23,965,43.8,710.8109999999999,22.616666666666667
35,2018-12-02,0,631,35.23,414.64199999999994,15.733333333333327
36,2018-12-02,1,26,1.09999997,19.200000000000003,1.9833333333333334
37,2018-12-02,2,0,0.0,0.0,1.0
38,2018-12-02,3,62,2.7,47.98,2.9499999999999997
39,2018-12-02,4,30,1.28,21.3,0.9833333333333333
40,2018-12-02,5,56,2.37,42.16,1.9666666666666666
41,2018-12-02,6,43,1.76,29.78,1.9666666666666666
42,2018-12-02,13,220,9.36,161.0,6.9
43,2018-12-02,14,265,11.330000000000002,191.798,9.833333333333332
44,2018-12-02,15,225,9.740000129999999,175.23000100000002,9.866666666666665
45,2018-12-02,16,1030,44.27999929999999,812.8100039999999,22.900000000000002
46,2018-12-02,17,481,20.82,355.5199999999999,11.816666666666665
47,2018-12-02,18,45,1.84,29.93,1.9833333333333334
48,2018-12-02,19,1045,77.73,963.28,13.766666666666662
49,2018-12-02,20,2282,174.7199999999999,2028.7089999999998,28.516666666666673
50,2018-12-02,22,338,14.82,254.46,6.883333333333333
51,2018-12-02,23,236,10.209999999999999,176.85000000000002,11.799999999999997
52,2018-12-03,0,313,13.18,218.87,12.78333333333333
53,2018-12-03,1,95,3.9000000000000004,64.17,3.933333333333333
54,2018-12-03,2,248,10.399999999999999,172.239,8.85
55,2018-12-03,3,7,0.27,5.88,1.0
56,2018-12-03,6,41,1.6099999999999999,25.619999999999997,1.9666666666666666
57,2018-12-03,11,16,0.65,9.8,0.9833333333333333
58,2018-12-03,12,385,16.10999995,278.59299999999996,13.799999999999995
59,2018-12-03,13,263,11.530000000000001,193.63,5.916666666666666
60,2018-12-03,14,149,6.5,107.94,4.933333333333334
61,2018-12-03,15,200,8.969000000000001,159.56,2.9499999999999997
62,2018-12-03,16,52,2.28,39.08,0.9833333333333333
63,2018-12-03,17,226,9.7600001,170.0,6.9
64,2018-12-03,18,24,1.20000003,18.32,1.9833333333333334
65,2018-12-03,19,372,15.8,273.328,6.883333333333333
66,2018-12-03,20,1241,60.63,1001.2499999999999,35.40000000000001
67,2018-12-03,21,103,4.49,80.25,2.9499999999999997
68,2018-12-03,22,53,2.31,41.68,1.9666666666666666
69,2018-12-03,23,58,2.4,38.83,2.9499999999999997
70,2018-12-04,0,75,3.02,46.970000000000006,3.933333333333333
71,2018-12-04,1,304,13.01,217.76000000000002,8.85
72,2018-12-04,10,13,0.44,7.862999999999999,0.9833333333333333
73,2018-12-04,13,21,0.92,16.28,0.9833333333333333
74,2018-12-04,14,36,1.69,28.799999999999997,2.9833333333333334
75,2018-12-04,15,305,13.38,227.962,9.833333333333332
76,2018-12-04,17,83,3.61,63.330000000000005,5.8999999999999995
77,2018-12-04,18,100,4.31,75.05,3.933333333333333
78,2018-12-04,19,84,3.39,56.941,3.933333333333333
79,2018-12-04,20,730,32.180000199999995,545.198999,20.666666666666664
80,2018-12-04,21,55,2.4300002000000003,41.980004199999996,2.9833333333333334
81,2018-12-04,22,96,4.1,67.68,2.9499999999999997
82,2018-12-04,23,323,13.49,233.66299999999998,13.766666666666662
83,2018-12-05,0,203,9.020000000000001,164.749,4.916666666666666
84,2018-12-05,1,124,5.300000000000001,89.05999999999999,3.933333333333333
85,2018-12-05,2,266,11.620000000000001,199.73000000000002,8.85
86,2018-12-05,7,16,0.66,10.46,0.9833333333333333
87,2018-12-05,11,225,9.94,169.81,8.866666666666667
88,2018-12-05,12,861,41.07000000000001,678.148,18.68333333333333
89,2018-12-05,13,256,11.26,199.4,7.883333333333334
90,2018-12-05,14,6,0.24,5.04,1.0
91,2018-12-05,15,156,6.66,115.47,3.933333333333333
92,2018-12-05,16,422,18.06,316.25,12.78333333333333
93,2018-12-05,17,123,5.27,91.21,3.95
94,2018-12-05,19,424,17.84,308.09,5.8999999999999995
95,2018-12-05,20,14,0.6,11.030001,1.0
96,2018-12-05,22,146,6.440000000000001,112.762,5.8999999999999995
97,2018-12-05,23,127,5.74,91.63,4.916666666666666
98,2018-12-06,0,31,1.19,17.99,1.9666666666666666
99,2018-12-06,1,233,10.26,164.9,5.8999999999999995
100,2018-12-06,10,93,4.75,75.65899999999999,3.933333333333333
101,2018-12-06,11,48,2.43,35.71,1.9666666666666666
102,2018-12-06,13,106,4.6,80.58,4.916666666666666
103,2018-12-06,14,136,5.79,97.249,5.8999999999999995
104,2018-12-06,15,218,9.280000000000001,159.119,10.816666666666665
105,2018-12-06,16,318,13.149999999999999,222.52800000000002,8.85
106,2018-12-06,17,260,13.02,204.0,10.816666666666665
107,2018-12-06,18,129,5.720000000000001,101.44999999999999,3.933333333333333
108,2018-12-06,19,82,3.65,65.07,3.933333333333333
109,2018-12-06,20,105,4.53,77.64,4.916666666666666
110,2018-12-06,21,254,10.79,184.82,9.833333333333332
111,2018-12-06,22,90,3.98,71.81,1.9666666666666666
112,2018-12-06,23,86,3.4899999999999998,56.75,4.916666666666666
113,2018-12-07,0,53,2.34,41.72,1.9666666666666666
114,2018-12-07,1,38,1.56,25.41,1.9666666666666666
115,2018-12-07,2,389,16.53,272.339,10.816666666666665
116,2018-12-07,3,45,2.0,33.45,1.9666666666666666
117,2018-12-07,4,18,0.77,13.87,0.9833333333333333
118,2018-12-07,10,71,3.24,53.954,2.9499999999999997
119,2018-12-07,12,94,4.91,75.36,4.916666666666666
120,2018-12-07,14,107,4.36,72.749,3.933333333333333
121,2018-12-07,15,135,5.6899999999999995,97.16,6.883333333333333
122,2018-12-07,16,291,13.399999999999999,231.83699999999996,8.866666666666667
123,2018-12-07,17,142,6.5600000000000005,113.55099999999999,5.8999999999999995
124,2018-12-07,18,167,7.2299999999999995,127.46000000000001,7.866666666666666
125,2018-12-07,19,94,3.83,64.329,3.933333333333333
126,2018-12-07,20,62,2.57,44.218,1.9666666666666666
127,2018-12-07,21,148,6.1899999999999995,108.87,3.933333333333333
128,2018-12-07,22,39,1.77,32.36,1.9666666666666666
129,2018-12-07,23,204,8.540000000000001,143.76999999999998,5.8999999999999995
130,2018-12-08,0,114,4.79,83.18,3.933333333333333
131,2018-12-08,1,74,3.1,54.120000000000005,3.933333333333333
132,2018-12-08,2,341,14.54,240.46,7.866666666666666
133,2018-12-08,3,15,0.64,10.59,0.9833333333333333
134,2018-12-08,7,22,1.01,17.99,0.9833333333333333
135,2018-12-08,11,102,4.37000004,74.48999900000001,5.95
136,2018-12-08,13,206,8.959999999999999,152.82999999999998,6.883333333333333
137,2018-12-08,14,199,8.68,147.48,6.883333333333333
138,2018-12-08,15,1284,79.62,1032.6599999999999,18.68333333333333
139,2018-12-08,16,596,26.22,448.079,15.749999999999995
140,2018-12-08,17,854,43.59000000000001,698.526,12.78333333333333
141,2018-12-08,18,242,10.4,175.17999999999998,8.85
142,2018-12-08,19,38,1.6600000000000001,29.53,1.9666666666666666
143,2018-12-08,21,219,9.47,163.531,5.8999999999999995
144,2018-12-08,22,16,0.69,12.97,1.0
145,2018-12-08,23,318,14.809999999999999,250.02000300000003,8.866666666666667
146,2018-12-09,0,52,2.21,37.13,0.9833333333333333
147,2018-12-09,1,75,3.24,57.448,1.9666666666666666
148,2018-12-09,2,113,4.78,81.7,5.8999999999999995
149,2018-12-09,9,96,4.569,81.242,3.933333333333333
150,2018-12-09,11,13,0.55,10.031,0.9833333333333333
151,2018-12-09,14,319,13.3,227.748,11.799999999999997
152,2018-12-09,15,30,1.32,23.58,0.9833333333333333
153,2018-12-09,16,65,2.9699999999999998,54.43,1.9666666666666666
154,2018-12-09,17,65,2.73,46.379999999999995,2.9499999999999997
155,2018-12-09,18,130,5.5,91.28,4.916666666666666
156,2018-12-09,19,35,1.56,26.53,0.9833333333333333
157,2018-12-09,20,396,18.660000000000004,313.27,8.866666666666665
158,2018-12-09,21,523,22.66,423.48999699999996,13.88333333333333
159,2018-12-09,22,55,2.45,43.599999999999994,1.9666666666666666
160,2018-12-09,23,145,6.720000199999999,118.35,3.0
161,2018-12-10,0,620,26.109991499999996,491.95007599999997,9.0
162,2018-12-10,2,627,26.259999399999998,477.899005,11.916666666666664
163,2018-12-10,3,37,1.49,23.31,0.9833333333333333
164,2018-12-10,7,22,0.94,16.39,0.9833333333333333
165,2018-12-10,13,119,5.039999999999999,88.43900000000001,4.916666666666666
166,2018-12-10,14,19,0.86,15.53,0.9833333333333333
167,2018-12-10,15,448,19.330000000000002,327.397,9.833333333333332
168,2018-12-10,16,141,5.97,97.29,3.933333333333333
169,2018-12-10,17,233,9.69,163.76000000000002,7.866666666666666
170,2018-12-10,18,146,6.37,111.66,5.8999999999999995
171,2018-12-10,19,121,5.37,85.11,6.883333333333333
172,2018-12-10,20,45,2.04,37.19,1.9666666666666666
173,2018-12-10,21,425,17.860000000000003,304.77000000000004,12.78333333333333
174,2018-12-10,22,1441,73.27099999999999,1141.3580000000002,32.45000000000001
175,2018-12-10,23,826,42.18000000000001,548.3710000000001,17.699999999999996
176,2018-12-11,0,330,14.07,242.97699999999998,9.833333333333332
177,2018-12-11,1,375,16.07,274.16,8.866666666666667
178,2018-12-11,3,20,0.85,13.92,0.9833333333333333
179,2018-12-11,4,47,2.02,35.06,1.9666666666666666
180,2018-12-11,7,25,1.35,21.86,0.9833333333333333
181,2018-12-11,11,15,0.96,13.77,0.9833333333333333
182,2018-12-11,12,600,25.74,430.47999999999996,15.733333333333327
183,2018-12-11,13,115,6.88,105.10999949999999,5.966666666666667
184,2018-12-11,14,90,3.87,69.473,2.9499999999999997
